ptp,Clear instructions?,Notice schema_6_0,Notice schema_2_2,Notice schema_4_2,Notice schema_4_4,Strategy?,Did visible ones help or hinder?,Anything else
sub_121,clear,no i only focused on the ones i needed to click,no i didnt notice it,no i didnt take any notice of that,no as above,no i found it very difficult i tried to measure the distance in terms of distance from middle and either the top of the square or the bottom but it was difficult to get right,"probably hindered, did not matter what board i was on, probably better when they stayed in the same position",no
sub_122,Yes,No,Yes,Yes,No,No,Hindered,no
sub_123,"I found them really clear, thank you.",I didn't notice this actually! ,"No, I didn't.",I didn't notice this either.,"No, I'm feeling a little silly for not noticing any of these elements. ","Yes, I tried to apply somewhat of a link learning strategy. E.g. a stairway to heaven so it's near the top. Or, low slung jeans are low/near the bottom! I noticed I also kept being close to the location so would try and remind myself to budge closer to where my brain thought they'd be. When I noticed the coloured box hopping about, I started to see whether this position told me anything about where the item may be. E.g. if the inner box was more to the top/right etc. I couldn't see anything with this though.","This varied by board. At first I felt a bit thrown off by them, then I largely tried to ignore them, and later I used my eye to get a general sense of where things were to then increase my accuracy. Despite saying I didn't notice which were fixed in your questions above, I must have at points because sub-conciously some of my link learning brought in certain elements. E.g. what the squirrel was on top of...which I think was the pumpkin, but I may be wrong about this!",Not that I can think of!
sub_124,Yes,Yes,I noticed that some moved but could not recall how many.,I noticed that some moved but could not recall how many.,I noticed that some moved but could not recall how many.,"I trioed - for example fan close to the top (i.e. on the ceiling), and then I tried to remember pairings in relation to each other.",It depended. ,It was interesting but more of a challenge than anticipated!  Enjoyable nonetheless!
sub_125,clarify that you will have to learn the location of the pictures through trial and error,i think so ,i also think so ,yes,yes,"to move my mouse to the location if i made a miss and to idetify the location first visually on the blank board then move my mouse there, also to learn from where my common miss was then adjust ","depended on the board, but i think the bigger hindrence was how the board moves across the screen making it different to calibrate the exact location ",no 
sub_126,Instructions were clear.,I noticed on some boards they moved around which made the task slightly more difficult.,I think so. ,I think so. ,I think so. ,I tried to remember where roughly they were or what they were next to. ,They helped me depending if they stayed the same place. ,N/A.
sub_127,it was clear,i haven't noticed that,i noticed one was at least all the time the same,i haven't noticed that,no i haven't,tried to 'calculate' where the picture is - for example one square from top and two from left etc.,"it helped with certain hidden images, but for sure didn't hinder",not at all 
sub_128,Yes they were clear,Yes,Yes,Yes I think so ,Yes I think so,Name associations between hidden pictures and visible pictures that were grouped together. Mapping the hidden pictures location by the squares perimeter (i.e. close to left corner 1cm in),"Yes when they were fixed, over time i was able to identify certain hidden items near them. Yes it did depend on the board, some had more visible pictures moving than other",No I don't think so. Thank you 
sub_129,The instructions were not clear for naming the visible and invisible items. I named the same items in each box.,no,No,No,No,I tried to remember where each item located from the centre of each page. This did not differ for each board. ,I felt like the visible pictures were of no use at all.,N/A
sub_130,yes,yes,no,no,yes,no,hinder,no
sub_131,Yes,Yes,Yes,Yes,Yes,I tried to place the pictures based on the ones that didn't move.,It helped generally,No
sub_132,The instructions were very clear to me,I can't remember noticing if they stay the same or not.,I noticed some changes but can't be sure if it was 2 stay and 2 changing.,I noticed some changes but can't be sure if it was 4 stay and 2 changing.,I noticed some changes but can't be sure if it was 4 stay and 4 changing.,My strategy didn't really depend on the board but the one's near the edge were easier then the ones in the middle area.,As far as I can tell it did not help nor hurt me regardless of the board.,none that I can think of.
sub_133,Yes very clear,yes,yes,no,no,no,it helped,all ok
sub_134,Yes they were fine,Yes I did,No I did not,No I did not,No I did not,"I imagined the board as all small squares of the same size. Therefore, if I had a rough idea of where the hidden picture was, I would be able to pinpoint some of them a little better by imagining how many squares from a visible picture it was. ","They helped, especially when a hidden picture was directly next to a visible picture. It would've been most effective on the boards where visible pictures didn't move.",No
sub_135,somewhat,yes,no,yes,noo,try to make broad picture of where they'd all be,"help sometimes, depended on board",no
sub_136,Yes,Yes,Yes,Yes,Yes,"On the stable boards, I was associating the hidden images with the closest visible picture so I knew which area of the board the hidden picture could be found. On the randomly moving boards, I was trying to focus more on splitting the boards into sections (thirds from top to bottom, and then the left and right hand section)","Helped, associating the hidden pictures with visible pictures close to its location. This was more of a hinderance on the boards where the visible pictures moved. ",No
sub_137,"yes, the instructions were easy to follow ",Yes,Yes,yes ,yes ,"Yes, i noticed when the main images moved but the hidden images stayed the same i tried to remember the exact location, when the non hidden pictures didnt move it was easier to remember ","they helped when they stayed in the same position as i was able to get a feel of where the hidden picture was, but when the visible pictures moved around it hindered me slightly ",none
sub_138,"Yes, once I had completed the practice I understood what to do",No,No,No,No,"I tried to link properties of the items to their position on the board i.e. ceiling fans are up HIGH, you climb stairs to go UP. For some of the items I tried to remember if they were central or slightly left or right of the centre line, almost by creating a grid in my mind.","I tried to completely ignore the visible pictures, instead trying to memorise the hidden picture locations on an empty board.",no
sub_139,"Yes, they were clear.","No, I did not notice that.","I felt they moved around less, but did not notice that specifically",No,No,"I tended to focus on where the hidden pictures were in comparison to the corners, and imagined where on a grid they would be.","Most of the time I did not rely on them - I do not think they helped, but not sure if they hindered either.",No
sub_140,Yes,No,Yes,Yes,No,"I tried to associate the pictures with positions where they would be found - i.e. the ceiling fan was near the top so it was 'on the ceiling', the squirrel was 'eating' the pumpkin","It hindered me a bit more when they moved, it helped when they didn't",n/a
